Category,ID,Description,BgRatio,pvalue,padjust,qvalue,geneID,gene_name,rankScore,Gene Count
BP,GO:0060099,"regulation of phagocytosis, engulfment",13/18493,0.01119291,0.034171992,0.012260784,5468,PPARG,0.011614619,1
BP,GO:0060965,negative regulation of gene silencing by miRNA,13/18493,0.01119291,0.034171992,0.012260784,5468,PPARG,0.011614619,1
BP,GO:1900103,positive regulation of endoplasmic reticulum unfolded protein response,13/18493,0.01119291,0.034171992,0.012260784,581,BAX,0.007758562,1
BP,GO:1900119,positive regulation of execution phase of apoptosis,13/18493,0.01119291,0.034171992,0.012260784,581,BAX,0.007758562,1
BP,GO:1900452,regulation of long-term synaptic depression,13/18493,0.01119291,0.034171992,0.012260784,4137,MAPT,0.011794169,1
BP,GO:1902993,positive regulation of amyloid precursor protein catabolic process,13/18493,0.01119291,0.034171992,0.012260784,351,APP,0.017245442,1
BP,GO:1904748,regulation of apoptotic process involved in development,13/18493,0.01119291,0.034171992,0.012260784,581,BAX,0.007758562,1
BP,GO:0031099,regeneration,188/18493,0.011232975,0.034233827,0.01228297,596/5468,"BCL2,PPARG",0.017844573,2
BP,GO:0007219,Notch signaling pathway,189/18493,0.011347408,0.034521693,0.012386256,351/102,"APP,ADAM10",0.026796839,2
BP,GO:0042180,cellular ketone metabolic process,190/18493,0.011462363,0.034810129,0.012489745,5743/5468,"PTGS2,PPARG",0.028055459,2
BP,GO:0007565,female pregnancy,191/18493,0.011577837,0.035037658,0.012571382,596/5743,"BCL2,PTGS2",0.022665747,2
BP,GO:1901991,negative regulation of mitotic cell cycle phase transition,191/18493,0.011577837,0.035037658,0.012571382,596/581,"BCL2,BAX",0.013894357,2
BP,GO:0099504,synaptic vesicle cycle,195/18493,0.012044916,0.03559095,0.012769901,2932/23621,"GSK3B,BACE1",0.023854642,2
BP,GO:0006878,cellular copper ion homeostasis,14/18493,0.01204902,0.03559095,0.012769901,351,APP,0.017037634,1
BP,GO:0010248,establishment or maintenance of transmembrane electrochemical gradient,14/18493,0.01204902,0.03559095,0.012769901,581,BAX,0.007665071,1
BP,GO:0019372,lipoxygenase pathway,14/18493,0.01204902,0.03559095,0.012769901,5743,PTGS2,0.016395453,1
BP,GO:0034349,glial cell apoptotic process,14/18493,0.01204902,0.03559095,0.012769901,836,CASP3,0.02147684,1
BP,GO:0034374,low-density lipoprotein particle remodeling,14/18493,0.01204902,0.03559095,0.012769901,4353,MPO,0.010522659,1
BP,GO:0036295,cellular response to increased oxygen levels,14/18493,0.01204902,0.03559095,0.012769901,5468,PPARG,0.011474662,1
BP,GO:0043374,"CD8-positive, alpha-beta T cell differentiation",14/18493,0.01204902,0.03559095,0.012769901,596,BCL2,0.006164328,1
BP,GO:0044126,regulation of growth of symbiont in host,14/18493,0.01204902,0.03559095,0.012769901,4353,MPO,0.010522659,1
BP,GO:0044146,negative regulation of growth of symbiont involved in interaction with host,14/18493,0.01204902,0.03559095,0.012769901,4353,MPO,0.010522659,1
BP,GO:0048711,positive regulation of astrocyte differentiation,14/18493,0.01204902,0.03559095,0.012769901,351,APP,0.017037634,1
BP,GO:0051709,regulation of killing of cells of other organism,14/18493,0.01204902,0.03559095,0.012769901,4843,NOS2,0.00966191,1
BP,GO:0150078,positive regulation of neuroinflammatory response,14/18493,0.01204902,0.03559095,0.012769901,351,APP,0.017037634,1
BP,GO:1905153,regulation of membrane invagination,14/18493,0.01204902,0.03559095,0.012769901,5468,PPARG,0.011474662,1
BP,GO:0009746,response to hexose,196/18493,0.012162976,0.035866251,0.012868678,836/5743,"CASP3,PTGS2",0.037784808,2
BP,GO:0002573,myeloid leukocyte differentiation,197/18493,0.012281552,0.03615421,0.012971997,351/5468,"APP,PPARG",0.028378081,2
BP,GO:0034341,response to interferon-gamma,198/18493,0.012400641,0.036442699,0.013075505,4843/5468,"NOS2,PPARG",0.020986715,2
BP,GO:0006473,protein acetylation,199/18493,0.012520242,0.036615539,0.01313752,4137/2932,"MAPT,GSK3B",0.023271342,2
BP,GO:0071222,cellular response to lipopolysaccharide,199/18493,0.012520242,0.036615539,0.01313752,4846/4843,"NOS3,NOS2",0.022354558,2
BP,GO:0045766,positive regulation of angiogenesis,200/18493,0.012640356,0.036615539,0.01313752,4846/5743,"NOS3,PTGS2",0.029030809,2
BP,GO:1902905,positive regulation of supramolecular fiber organization,200/18493,0.012640356,0.036615539,0.01313752,351/4137,"APP,MAPT",0.028445579,2
BP,GO:0034284,response to monosaccharide,201/18493,0.012760981,0.036615539,0.01313752,836/5743,"CASP3,PTGS2",0.037550059,2
BP,GO:0010820,positive regulation of T cell chemotaxis,15/18493,0.012904435,0.036615539,0.01313752,102,ADAM10,0.009435408,1
BP,GO:0010885,regulation of cholesterol storage,15/18493,0.012904435,0.036615539,0.01313752,5468,PPARG,0.011377031,1
BP,GO:0015732,prostaglandin transport,15/18493,0.012904435,0.036615539,0.01313752,4843,NOS2,0.009579702,1
BP,GO:0030730,sequestering of triglyceride,15/18493,0.012904435,0.036615539,0.01313752,5468,PPARG,0.011377031,1
BP,GO:0030889,negative regulation of B cell proliferation,15/18493,0.012904435,0.036615539,0.01313752,836,CASP3,0.021294105,1
BP,GO:0033689,negative regulation of osteoblast proliferation,15/18493,0.012904435,0.036615539,0.01313752,596,BCL2,0.006111879,1
BP,GO:0034356,NAD biosynthesis via nicotinamide riboside salvage pathway,15/18493,0.012904435,0.036615539,0.01313752,5743,PTGS2,0.016255954,1
BP,GO:0044144,modulation of growth of symbiont involved in interaction with host,15/18493,0.012904435,0.036615539,0.01313752,4353,MPO,0.010433128,1
BP,GO:0046321,positive regulation of fatty acid oxidation,15/18493,0.012904435,0.036615539,0.01313752,5468,PPARG,0.011377031,1
BP,GO:0048569,post-embryonic animal organ development,15/18493,0.012904435,0.036615539,0.01313752,581,BAX,0.007599853,1
BP,GO:0060134,prepulse inhibition,15/18493,0.012904435,0.036615539,0.01313752,23621,BACE1,0.011933243,1
BP,GO:0060149,negative regulation of posttranscriptional gene silencing,15/18493,0.012904435,0.036615539,0.01313752,5468,PPARG,0.011377031,1
BP,GO:0060967,negative regulation of gene silencing by RNA,15/18493,0.012904435,0.036615539,0.01313752,5468,PPARG,0.011377031,1
BP,GO:0099633,protein localization to postsynaptic specialization membrane,15/18493,0.012904435,0.036615539,0.01313752,102,ADAM10,0.009435408,1
BP,GO:0099645,neurotransmitter receptor localization to postsynaptic specialization membrane,15/18493,0.012904435,0.036615539,0.01313752,102,ADAM10,0.009435408,1
BP,GO:1902683,regulation of receptor localization to synapse,15/18493,0.012904435,0.036615539,0.01313752,102,ADAM10,0.009435408,1
BP,GO:0043903,"regulation of symbiosis, encompassing mutualism through parasitism",203/18493,0.013003762,0.036836886,0.013216938,596/4353,"BCL2,MPO",0.016514857,2
BP,GO:0017157,regulation of exocytosis,204/18493,0.013125916,0.037061409,0.013297496,2932/23621,"GSK3B,BACE1",0.023565119,2
BP,GO:0032886,regulation of microtubule-based process,204/18493,0.013125916,0.037061409,0.013297496,4137/2932,"MAPT,GSK3B",0.023186177,2
BP,GO:0050670,regulation of lymphocyte proliferation,205/18493,0.013248577,0.037285897,0.013378042,836/596,"CASP3,BCL2",0.027255646,2
BP,GO:0099003,vesicle-mediated transport in synapse,205/18493,0.013248577,0.037285897,0.013378042,2932/23621,"GSK3B,BACE1",0.023521932,2
BP,GO:0032944,regulation of mononuclear cell proliferation,206/18493,0.013371745,0.037449555,0.013436762,836/596,"CASP3,BCL2",0.027219354,2
BP,GO:0071219,cellular response to molecule of bacterial origin,206/18493,0.013371745,0.037449555,0.013436762,4846/4843,"NOS3,NOS2",0.022202327,2
BP,GO:2001020,regulation of response to DNA damage stimulus,206/18493,0.013371745,0.037449555,0.013436762,4137/596,"MAPT,BCL2",0.017544493,2
BP,GO:2000027,regulation of animal organ morphogenesis,208/18493,0.013619599,0.037619969,0.013497906,596/581,"BCL2,BAX",0.013599534,2
BP,GO:0003184,pulmonary valve morphogenesis,16/18493,0.013759155,0.037619969,0.013497906,4846,NOS3,0.012670324,1
BP,GO:0010819,regulation of T cell chemotaxis,16/18493,0.013759155,0.037619969,0.013497906,102,ADAM10,0.009358202,1
BP,GO:0031000,response to caffeine,16/18493,0.013759155,0.037619969,0.013497906,5468,PPARG,0.011283937,1
BP,GO:0032225,"regulation of synaptic transmission, dopaminergic",16/18493,0.013759155,0.037619969,0.013497906,5743,PTGS2,0.016122937,1
BP,GO:0032930,positive regulation of superoxide anion generation,16/18493,0.013759155,0.037619969,0.013497906,4137,MAPT,0.011458375,1
BP,GO:0033033,negative regulation of myeloid cell apoptotic process,16/18493,0.013759155,0.037619969,0.013497906,596,BCL2,0.006061868,1
BP,GO:0036270,response to diuretic,16/18493,0.013759155,0.037619969,0.013497906,5468,PPARG,0.011283937,1
BP,GO:0045986,negative regulation of smooth muscle contraction,16/18493,0.013759155,0.037619969,0.013497906,5743,PTGS2,0.016122937,1
BP,GO:0070885,negative regulation of calcineurin-NFAT signaling cascade,16/18493,0.013759155,0.037619969,0.013497906,2932,GSK3B,0.011622546,1
BP,GO:0071380,cellular response to prostaglandin E stimulus,16/18493,0.013759155,0.037619969,0.013497906,5468,PPARG,0.011283937,1
BP,GO:0090335,regulation of brown fat cell differentiation,16/18493,0.013759155,0.037619969,0.013497906,5743,PTGS2,0.016122937,1
BP,GO:0106057,negative regulation of calcineurin-mediated signaling,16/18493,0.013759155,0.037619969,0.013497906,2932,GSK3B,0.011622546,1
BP,GO:1902166,negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,16/18493,0.013759155,0.037619969,0.013497906,596,BCL2,0.006061868,1
BP,GO:2001267,regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway,16/18493,0.013759155,0.037619969,0.013497906,581,BAX,0.007537666,1
BP,GO:0048762,mesenchymal cell differentiation,210/18493,0.013869471,0.037861683,0.013584631,2932/596,"GSK3B,BCL2",0.017649885,2
BP,GO:0002526,acute inflammatory response,211/18493,0.013995161,0.038084469,0.013664566,5743/5468,"PTGS2,PPARG",0.027304343,2
BP,GO:1901988,negative regulation of cell cycle phase transition,211/18493,0.013995161,0.038084469,0.013664566,596/581,"BCL2,BAX",0.013548657,2
BP,GO:0008037,cell recognition,213/18493,0.014248045,0.038711671,0.013889604,351/836,"APP,CASP3",0.037544013,2
BP,GO:0032388,positive regulation of intracellular transport,214/18493,0.014375238,0.038896274,0.013955839,2932/5743,"GSK3B,PTGS2",0.02746328,2
BP,GO:0050807,regulation of synapse organization,214/18493,0.014375238,0.038896274,0.013955839,351/102,"APP,ADAM10",0.025847051,2
BP,GO:0010878,cholesterol storage,17/18493,0.014613182,0.038896274,0.013955839,5468,PPARG,0.011169167,1
BP,GO:0031649,heat generation,17/18493,0.014613182,0.038896274,0.013955839,5743,PTGS2,0.015958949,1
BP,GO:0032966,negative regulation of collagen biosynthetic process,17/18493,0.014613182,0.038896274,0.013955839,5468,PPARG,0.011169167,1
BP,GO:0044117,growth of symbiont in host,17/18493,0.014613182,0.038896274,0.013955839,4353,MPO,0.010242509,1
BP,GO:0048311,mitochondrion distribution,17/18493,0.014613182,0.038896274,0.013955839,4137,MAPT,0.011341831,1
BP,GO:0048714,positive regulation of oligodendrocyte differentiation,17/18493,0.014613182,0.038896274,0.013955839,5468,PPARG,0.011169167,1
BP,GO:0055070,copper ion homeostasis,17/18493,0.014613182,0.038896274,0.013955839,351,APP,0.016584033,1
BP,GO:0060850,regulation of transcription involved in cell fate commitment,17/18493,0.014613182,0.038896274,0.013955839,5468,PPARG,0.011169167,1
BP,GO:1903978,regulation of microglial cell activation,17/18493,0.014613182,0.038896274,0.013955839,351,APP,0.016584033,1
BP,GO:2000811,negative regulation of anoikis,17/18493,0.014613182,0.038896274,0.013955839,596,BCL2,0.006000212,1
BP,GO:0007584,response to nutrient,216/18493,0.014631122,0.038896274,0.013955839,5743/5468,"PTGS2,PPARG",0.027128116,2
BP,GO:0070663,regulation of leukocyte proliferation,216/18493,0.014631122,0.038896274,0.013955839,836/596,"CASP3,BCL2",0.026905263,2
BP,GO:0045444,fat cell differentiation,217/18493,0.01475981,0.039118024,0.014035402,5743/5468,"PTGS2,PPARG",0.027080617,2
BP,GO:0045665,negative regulation of neuron differentiation,217/18493,0.01475981,0.039118024,0.014035402,351/2932,"APP,GSK3B",0.028039185,2
BP,GO:0042445,hormone metabolic process,218/18493,0.014888995,0.03933973,0.014114949,1636/43,"ACE,ACHE",0.021130483,2
BP,GO:0072331,signal transduction by p53 class mediator,218/18493,0.014888995,0.03933973,0.014114949,596/581,"BCL2,BAX",0.013414212,2
BP,GO:0019722,calcium-mediated signaling,220/18493,0.015148852,0.03977104,0.014269702,4137/2932,"MAPT,GSK3B",0.022689669,2
BP,GO:0050803,regulation of synapse structure or activity,220/18493,0.015148852,0.03977104,0.014269702,351/102,"APP,ADAM10",0.025670002,2
BP,GO:0044706,multi-multicellular organism process,221/18493,0.015279522,0.03977104,0.014269702,596/5743,"BCL2,PTGS2",0.021808744,2
BP,GO:0010224,response to UV-B,18/18493,0.015466516,0.03977104,0.014269702,596,BCL2,0.005959112,1
BP,GO:0010544,negative regulation of platelet activation,18/18493,0.015466516,0.03977104,0.014269702,4846,NOS3,0.012455545,1
BP,GO:0010713,negative regulation of collagen metabolic process,18/18493,0.015466516,0.03977104,0.014269702,5468,PPARG,0.011092659,1
BP,GO:0030540,female genitalia development,18/18493,0.015466516,0.03977104,0.014269702,581,BAX,0.007409893,1
BP,GO:0031293,membrane protein intracellular domain proteolysis,18/18493,0.015466516,0.03977104,0.014269702,102,ADAM10,0.009199568,1
BP,GO:0033189,response to vitamin A,18/18493,0.015466516,0.03977104,0.014269702,5468,PPARG,0.011092659,1
BP,GO:0033599,regulation of mammary gland epithelial cell proliferation,18/18493,0.015466516,0.03977104,0.014269702,581,BAX,0.007409893,1
BP,GO:0034063,stress granule assembly,18/18493,0.015466516,0.03977104,0.014269702,4137,MAPT,0.011264141,1
BP,GO:0044110,growth involved in symbiotic interaction,18/18493,0.015466516,0.03977104,0.014269702,4353,MPO,0.010172349,1
BP,GO:0044116,growth of symbiont involved in interaction with host,18/18493,0.015466516,0.03977104,0.014269702,4353,MPO,0.010172349,1
BP,GO:0070230,positive regulation of lymphocyte apoptotic process,18/18493,0.015466516,0.03977104,0.014269702,581,BAX,0.007409893,1
BP,GO:0070242,thymocyte apoptotic process,18/18493,0.015466516,0.03977104,0.014269702,581,BAX,0.007409893,1
BP,GO:0071318,cellular response to ATP,18/18493,0.015466516,0.03977104,0.014269702,5743,PTGS2,0.015849632,1
BP,GO:1900273,positive regulation of long-term synaptic potentiation,18/18493,0.015466516,0.03977104,0.014269702,351,APP,0.016470434,1
BP,GO:1902165,regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,18/18493,0.015466516,0.03977104,0.014269702,596,BCL2,0.005959112,1
BP,GO:0009743,response to carbohydrate,223/18493,0.015542342,0.039847428,0.01429711,836/5743,"CASP3,PTGS2",0.0365897,2
BP,GO:1901605,alpha-amino acid metabolic process,223/18493,0.015542342,0.039847428,0.01429711,4846/4843,"NOS3,NOS2",0.021782831,2
BP,GO:0046777,protein autophosphorylation,227/18493,0.016073875,0.040987648,0.014706216,2932/1636,"GSK3B,ACE",0.022201434,2
BP,GO:1904018,positive regulation of vasculature development,228/18493,0.016207982,0.040987648,0.014706216,4846/5743,"NOS3,PTGS2",0.028040686,2
BP,GO:0001991,regulation of systemic arterial blood pressure by circulatory renin-angiotensin,19/18493,0.016319156,0.040987648,0.014706216,1636,ACE,0.010882669,1
BP,GO:0002076,osteoblast development,19/18493,0.016319156,0.040987648,0.014706216,43,ACHE,0.009979818,1
BP,GO:0002320,lymphoid progenitor cell differentiation,19/18493,0.016319156,0.040987648,0.014706216,596,BCL2,0.005903428,1
BP,GO:0002363,alpha-beta T cell lineage commitment,19/18493,0.016319156,0.040987648,0.014706216,596,BCL2,0.005903428,1
BP,GO:0002902,regulation of B cell apoptotic process,19/18493,0.016319156,0.040987648,0.014706216,581,BAX,0.007340653,1
BP,GO:0003177,pulmonary valve development,19/18493,0.016319156,0.040987648,0.014706216,4846,NOS3,0.012339157,1
BP,GO:0010523,negative regulation of calcium ion transport into cytosol,19/18493,0.016319156,0.040987648,0.014706216,596,BCL2,0.005903428,1
BP,GO:0010888,negative regulation of lipid storage,19/18493,0.016319156,0.040987648,0.014706216,5468,PPARG,0.010989006,1
BP,GO:0071636,positive regulation of transforming growth factor beta production,19/18493,0.016319156,0.040987648,0.014706216,5743,PTGS2,0.015701529,1
BP,GO:1902003,regulation of amyloid-beta formation,19/18493,0.016319156,0.040987648,0.014706216,351,APP,0.01631653,1
BP,GO:1905288,vascular associated smooth muscle cell apoptotic process,19/18493,0.016319156,0.040987648,0.014706216,5468,PPARG,0.010989006,1
BP,GO:1905459,regulation of vascular associated smooth muscle cell apoptotic process,19/18493,0.016319156,0.040987648,0.014706216,5468,PPARG,0.010989006,1
BP,GO:0033157,regulation of intracellular protein transport,232/18493,0.016749274,0.042006887,0.015071915,2932/5743,"GSK3B,PTGS2",0.026812531,2
BP,GO:0003323,type B pancreatic cell development,20/18493,0.017171105,0.04220721,0.015143791,2932,GSK3B,0.011214877,1
BP,GO:0006582,melanin metabolic process,20/18493,0.017171105,0.04220721,0.015143791,596,BCL2,0.005849244,1
BP,GO:0007617,mating behavior,20/18493,0.017171105,0.04220721,0.015143791,351,APP,0.01616677,1
BP,GO:0010869,regulation of receptor biosynthetic process,20/18493,0.017171105,0.04220721,0.015143791,5468,PPARG,0.010888145,1
BP,GO:0030220,platelet formation,20/18493,0.017171105,0.04220721,0.015143791,836,CASP3,0.020379069,1
BP,GO:0032928,regulation of superoxide anion generation,20/18493,0.017171105,0.04220721,0.015143791,4137,MAPT,0.011056465,1
BP,GO:0034393,positive regulation of smooth muscle cell apoptotic process,20/18493,0.017171105,0.04220721,0.015143791,5468,PPARG,0.010888145,1
BP,GO:0034643,"establishment of mitochondrion localization, microtubule-mediated",20/18493,0.017171105,0.04220721,0.015143791,4137,MAPT,0.011056465,1
BP,GO:0045723,positive regulation of fatty acid biosynthetic process,20/18493,0.017171105,0.04220721,0.015143791,5743,PTGS2,0.015557413,1
BP,GO:0046697,decidualization,20/18493,0.017171105,0.04220721,0.015143791,5743,PTGS2,0.015557413,1
BP,GO:0047497,mitochondrion transport along microtubule,20/18493,0.017171105,0.04220721,0.015143791,4137,MAPT,0.011056465,1
BP,GO:0070584,mitochondrion morphogenesis,20/18493,0.017171105,0.04220721,0.015143791,581,BAX,0.007273277,1
BP,GO:0140131,positive regulation of lymphocyte chemotaxis,20/18493,0.017171105,0.04220721,0.015143791,102,ADAM10,0.009029956,1
BP,GO:2000310,regulation of NMDA receptor activity,20/18493,0.017171105,0.04220721,0.015143791,351,APP,0.01616677,1
BP,GO:0033002,muscle cell proliferation,236/18493,0.017298314,0.042459497,0.01523431,5743/5468,"PTGS2,PPARG",0.026395765,2
BP,GO:0034329,cell junction assembly,238/18493,0.017575722,0.043079217,0.015456663,1636/596,"ACE,BCL2",0.01652457,2
BP,GO:0003180,aortic valve morphogenesis,21/18493,0.018022361,0.043495307,0.015605955,4846,NOS3,0.012109784,1
BP,GO:0021854,hypothalamus development,21/18493,0.018022361,0.043495307,0.015605955,581,BAX,0.007204197,1
BP,GO:0035357,peroxisome proliferator activated receptor signaling pathway,21/18493,0.018022361,0.043495307,0.015605955,5468,PPARG,0.010784732,1
BP,GO:0036344,platelet morphogenesis,21/18493,0.018022361,0.043495307,0.015605955,836,CASP3,0.020185513,1
BP,GO:0042135,neurotransmitter catabolic process,21/18493,0.018022361,0.043495307,0.015605955,43,ACHE,0.009794303,1
BP,GO:0043369,"CD4-positive or CD8-positive, alpha-beta T cell lineage commitment",21/18493,0.018022361,0.043495307,0.015605955,596,BCL2,0.005793689,1
BP,GO:0046827,positive regulation of protein export from nucleus,21/18493,0.018022361,0.043495307,0.015605955,2932,GSK3B,0.01110836,1
BP,GO:0051900,regulation of mitochondrial depolarization,21/18493,0.018022361,0.043495307,0.015605955,596,BCL2,0.005793689,1
BP,GO:0055093,response to hyperoxia,21/18493,0.018022361,0.043495307,0.015605955,5468,PPARG,0.010784732,1
BP,GO:0071498,cellular response to fluid shear stress,21/18493,0.018022361,0.043495307,0.015605955,5743,PTGS2,0.015409653,1
BP,GO:1904886,beta-catenin destruction complex disassembly,21/18493,0.018022361,0.043495307,0.015605955,2932,GSK3B,0.01110836,1
BP,GO:0043543,protein acylation,242/18493,0.018136284,0.043709203,0.0156827,4137/2932,"MAPT,GSK3B",0.022025295,2
BP,GO:0033673,negative regulation of kinase activity,244/18493,0.018419424,0.0442681,0.01588323,4137/836,"MAPT,CASP3",0.030962056,2
BP,GO:0060047,heart contraction,244/18493,0.018419424,0.0442681,0.01588323,1636/4846,"ACE,NOS3",0.022662133,2
BP,GO:0022898,regulation of transmembrane transporter activity,245/18493,0.018561706,0.044486307,0.015961522,351/596,"APP,BCL2",0.021650209,2
BP,GO:0050730,regulation of peptidyl-tyrosine phosphorylation,245/18493,0.018561706,0.044486307,0.015961522,351/1636,"APP,ACE",0.026501776,2
BP,GO:0008053,mitochondrial fusion,22/18493,0.018872926,0.044858895,0.016095206,581,BAX,0.007133263,1
BP,GO:0009651,response to salt stress,22/18493,0.018872926,0.044858895,0.016095206,581,BAX,0.007133263,1
BP,GO:0070841,inclusion body assembly,22/18493,0.018872926,0.044858895,0.016095206,4137,MAPT,0.010843623,1
BP,GO:0071379,cellular response to prostaglandin stimulus,22/18493,0.018872926,0.044858895,0.016095206,5468,PPARG,0.010678543,1
BP,GO:0071425,hematopoietic stem cell proliferation,22/18493,0.018872926,0.044858895,0.016095206,1636,ACE,0.01057521,1
BP,GO:1903429,regulation of cell maturation,22/18493,0.018872926,0.044858895,0.016095206,596,BCL2,0.005736643,1
BP,GO:0006352,"DNA-templated transcription, initiation",248/18493,0.018991389,0.045078462,0.016173985,581/5468,"BAX,PPARG",0.01778379,2
BP,GO:0010951,negative regulation of endopeptidase activity,250/18493,0.019280201,0.045684987,0.016391604,351/5743,"APP,PTGS2",0.030930582,2
BP,GO:0090596,sensory organ morphogenesis,251/18493,0.019425312,0.045684987,0.016391604,596/581,"BCL2,BAX",0.012794252,2
BP,GO:0003015,heart process,252/18493,0.019570891,0.045684987,0.016391604,1636/4846,"ACE,NOS3",0.022433109,2
BP,GO:0090257,regulation of muscle system process,252/18493,0.019570891,0.045684987,0.016391604,4846/5743,"NOS3,PTGS2",0.027088299,2
BP,GO:0007413,axonal fasciculation,23/18493,0.019722801,0.045684987,0.016391604,836,CASP3,0.019869273,1
BP,GO:0010226,response to lithium ion,23/18493,0.019722801,0.045684987,0.016391604,5743,PTGS2,0.015168235,1
BP,GO:0030318,melanocyte differentiation,23/18493,0.019722801,0.045684987,0.016391604,596,BCL2,0.005702921,1
BP,GO:0032799,low-density lipoprotein receptor particle metabolic process,23/18493,0.019722801,0.045684987,0.016391604,5468,PPARG,0.010615771,1
BP,GO:0034695,response to prostaglandin E,23/18493,0.019722801,0.045684987,0.016391604,5468,PPARG,0.010615771,1
BP,GO:0036037,"CD8-positive, alpha-beta T cell activation",23/18493,0.019722801,0.045684987,0.016391604,596,BCL2,0.005702921,1
BP,GO:0051654,establishment of mitochondrion localization,23/18493,0.019722801,0.045684987,0.016391604,4137,MAPT,0.01077988,1
BP,GO:0051882,mitochondrial depolarization,23/18493,0.019722801,0.045684987,0.016391604,596,BCL2,0.005702921,1
BP,GO:0071404,cellular response to low-density lipoprotein particle stimulus,23/18493,0.019722801,0.045684987,0.016391604,5468,PPARG,0.010615771,1
BP,GO:0090140,regulation of mitochondrial fission,23/18493,0.019722801,0.045684987,0.016391604,4137,MAPT,0.01077988,1
BP,GO:0106030,neuron projection fasciculation,23/18493,0.019722801,0.045684987,0.016391604,836,CASP3,0.019869273,1
BP,GO:1901889,negative regulation of cell junction assembly,23/18493,0.019722801,0.045684987,0.016391604,1636,ACE,0.010513045,1
BP,GO:1901984,negative regulation of protein acetylation,23/18493,0.019722801,0.045684987,0.016391604,2932,GSK3B,0.010934329,1
BP,GO:1902254,negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator,23/18493,0.019722801,0.045684987,0.016391604,596,BCL2,0.005702921,1
BP,GO:0007281,germ cell development,255/18493,0.020010433,0.046227311,0.016586188,596/581,"BCL2,BAX",0.012745326,2
BP,GO:0051091,positive regulation of DNA-binding transcription factor activity,255/18493,0.020010433,0.046227311,0.016586188,351/5468,"APP,PPARG",0.026277246,2
BP,GO:0006164,purine nucleotide biosynthetic process,258/18493,0.020454164,0.046651431,0.016738361,4846/4843,"NOS3,NOS2",0.020717273,2
BP,GO:0001516,prostaglandin biosynthetic process,24/18493,0.020571985,0.046651431,0.016738361,5743,PTGS2,0.01506534,1
BP,GO:0001783,B cell apoptotic process,24/18493,0.020571985,0.046651431,0.016738361,581,BAX,0.007043227,1
BP,GO:0001919,regulation of receptor recycling,24/18493,0.020571985,0.046651431,0.016738361,43,ACHE,0.00957546,1
BP,GO:0002227,innate immune response in mucosa,24/18493,0.020571985,0.046651431,0.016738361,4843,NOS2,0.008878069,1
BP,GO:0003176,aortic valve development,24/18493,0.020571985,0.046651431,0.016738361,4846,NOS3,0.011839204,1
BP,GO:0031639,plasminogen activation,24/18493,0.020571985,0.046651431,0.016738361,5328,PLAU,0.004900988,1
BP,GO:0043457,regulation of cellular respiration,24/18493,0.020571985,0.046651431,0.016738361,4843,NOS2,0.008878069,1
BP,GO:0046457,prostanoid biosynthetic process,24/18493,0.020571985,0.046651431,0.016738361,5743,PTGS2,0.01506534,1
BP,GO:0060561,apoptotic process involved in morphogenesis,24/18493,0.020571985,0.046651431,0.016738361,581,BAX,0.007043227,1
BP,GO:1900739,regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway,24/18493,0.020571985,0.046651431,0.016738361,596,BCL2,0.005664235,1
BP,GO:1900740,positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway,24/18493,0.020571985,0.046651431,0.016738361,596,BCL2,0.005664235,1
BP,GO:1902991,regulation of amyloid precursor protein catabolic process,24/18493,0.020571985,0.046651431,0.016738361,351,APP,0.015655423,1
BP,GO:2000209,regulation of anoikis,24/18493,0.020571985,0.046651431,0.016738361,596,BCL2,0.005664235,1
BP,GO:0050851,antigen receptor-mediated signaling pathway,259/18493,0.020603001,0.046660531,0.016741626,596/581,"BCL2,BAX",0.012706654,2
BP,GO:0010466,negative regulation of peptidase activity,261/18493,0.020902061,0.047275865,0.016962405,351/5743,"APP,PTGS2",0.030587496,2
BP,GO:0000082,G1/S transition of mitotic cell cycle,263/18493,0.021202963,0.047760761,0.017136384,596/581,"BCL2,BAX",0.01261003,2
BP,GO:0002068,glandular epithelial cell development,25/18493,0.02142048,0.047760761,0.017136384,2932,GSK3B,0.010776887,1
BP,GO:0003309,type B pancreatic cell differentiation,25/18493,0.02142048,0.047760761,0.017136384,2932,GSK3B,0.010776887,1
BP,GO:0031069,hair follicle morphogenesis,25/18493,0.02142048,0.047760761,0.017136384,596,BCL2,0.005620806,1
BP,GO:0031116,positive regulation of microtubule polymerization,25/18493,0.02142048,0.047760761,0.017136384,4137,MAPT,0.010624662,1
BP,GO:0032461,positive regulation of protein oligomerization,25/18493,0.02142048,0.047760761,0.017136384,581,BAX,0.006989224,1
BP,GO:0035235,ionotropic glutamate receptor signaling pathway,25/18493,0.02142048,0.047760761,0.017136384,351,APP,0.015535388,1
BP,GO:0060330,regulation of response to interferon-gamma,25/18493,0.02142048,0.047760761,0.017136384,5468,PPARG,0.010462916,1
BP,GO:0060334,regulation of interferon-gamma-mediated signaling pathway,25/18493,0.02142048,0.047760761,0.017136384,5468,PPARG,0.010462916,1
